Expert_ID,Expert_type,Q_ID,Q5th,Q50th,Q95th
101,Expert,CAL_3,500,800,1700
101,Expert,CAL_7,346.875,375,571.875
101,Expert,CAL_8,300,350,500
101,Expert,CAL_9,300,350,500
101,Expert,CAL_11,462.5,800,968.75
101,Expert,CAL_13,300,450,500
101,Expert,CAL_14,225,450,525
101,Expert,CAL_15,250,400,650
101,Expert,CAL_16,21.875,50,83.75
101,Expert,CAL_17,0.001,0.25,2
101,Expert,CAL_19,9.411764706,20,51.76470588
101,Expert,CAL_20,2.125,10,26.875
101,Expert,CAL_21,4.588235294,12,20.47058824
101,Expert,CAL_25,2.125,10,15.625
101,Expert,CAL_27,19.41176471,30,61.76470588
101,Expert,QI_31,25,45,70
101,Expert,QI_32,4.875,6,21.75
101,Expert,QI_33,0.1625,0.5,1.0625
101,Expert,QI_34,0.002,0.02,0.05
101,Expert,QI_35,0.428571429,3,12
101,Expert,QI_36,4.588235294,12,20.47058824
101,Expert,QI_37,3.846153846,8,31.53846154
101,Expert,QI_38,0.04,0.3,4
101,Expert,QI_39,0.047058824,1,7.352941176
101,Expert,QI_40,0.857142857,1.5,7.285714286
101,Expert,QI_41,0.0001,1,6.538461538
101,Expert,QI_42,0.0001,1.5,5.4375
101,Expert,QI_43,0.882352941,3,12.52941176
101,Expert,QI_44,0.0001,15,47.14285714
101,Expert,QI_45,0.0001,1,5.235294118
101,Expert,QI_46,22.94117647,60,86.47058824
101,Expert,QI_47,0.0001,1,1.75
101,Expert,QI_48,0.0001,3,15.6
101,Expert,QI_49,23.57142857,30,49.28571429
101,Expert,QI_50,0.5,5,12.875
101,Expert,QI_51,18.125,35,63.125
101,Expert,QI_52,5.882352941,8,20.70588235
101,Expert,QI_53,0.075,0.3,5.5875
101,Expert,QI_54,0.002,0.01,0.05
101,Expert,QI_55,0.428571429,3,12
101,Expert,QI_56,6.5,20,31.25
101,Expert,QI_57,5.076923077,12,36.92307692
101,Expert,QI_58,0.04,0.3,4
101,Expert,QI_59,0.075,0.3,3.3375
101,Expert,QI_60,0.357142857,1,3.571428571
101,Expert,QI_61,0.0001,0.5,7.25
101,Expert,QI_62,0.0001,1,2.125
101,Expert,QI_63,0.8,2,5.6
101,Expert,QI_64,0.0001,10,35.71428571
101,Expert,QI_65,0.0001,0.15,3.35625
101,Expert,QI_66,0.0001,25,97
101,Expert,QI_67,0.875,1.25,2.375
101,Expert,QI_68,0.0001,3,15.6
101,Expert,QI_69,29.14285714,33,93.42857143
101,Expert,QI_70,2,8,16.4
101,Expert,QI_71,3,12,31.5
101,Expert,QI_72,0.75,3,17.625
101,Expert,QI_73,0.214285714,0.6,3.685714286
101,Expert,QI_74,0.0001,20,65
101,Expert,QI_75,0.6,3,7.8
101,Expert,QI_76,3.461538462,9,58.84615385
101,Expert,QI_77,0.0001,3,13.8
101,Expert,QI_78,1.75,4,8.5
101,Expert,QI_79,18.57142857,25,57.14285714
101,Expert,QI_80,0.875,2,4.25
101,Expert,QI_81,0.15,0.6,4.2
101,Expert,QI_82,0.6,3,5.4
101,Expert,QI_83,1.2,6,18
101,Expert,QI_84,22.5,45,78.75
101,Expert,QI_85,37.14285714,50,75.71428571
101,Expert,QI_86,0.470588235,1,5.235294118
101,Expert,QI_87,1,16,44.5
101,Expert,QI_88,0.857142857,6,24
101,Expert,QI_89,0.214285714,0.6,3.685714286
101,Expert,QI_90,0.0001,25,77.5
101,Expert,QI_91,0.428571429,3,9.428571429
101,Expert,QI_92,4.615384615,6,53.07692308
101,Expert,QI_93,0.0001,5,12.2
101,Expert,QI_94,1.5,6,12
101,Expert,QI_95,15,30,67.5
101,Expert,QI_96,0.99,1,3.571428571
101,Expert,QI_97,0.15,0.6,4.2
101,Expert,QI_98,0.0001,5,6.285714286
101,Expert,QI_99,1.2,6,18
101,Expert,QI_100,26.875,55,83.125
101,Expert,QI_101,15.71428571,35,67.14285714
101,Expert,QI_102,0.0001,0.5,3.714285714
101,Expert,QI_103,0.0001,0.09,0.102857143
101,Expert,QI_104,0.0001,0.1,0.55
101,Expert,QI_105,11.92307692,23,25.76923077
101,Expert,QI_106,18,27,30.85714286
101,Expert,QI_107,26.53846154,39,54.23076923
101,Expert,QI_108,6,12,15
101,Expert,QI_109,1.5,3,6
101,Expert,QI_110,0.5,2,3.5
101,Expert,QI_111,4,7,11.5
101,Expert,QI_112,0.2,0.5,3
101,Expert,QI_113,0.2,0.5,3
101,Expert,QI_114,0.305882353,2,6.235294118
101,Expert,QI_115,0.04,0.1,0.58
101,Expert,QI_116,0.857142857,1.5,4.714285714
101,Expert,QI_117,0.428571429,3,18.42857143
101,Expert,QI_118,0.9,1.5,5.7
101,Expert,QI_119,0.875,2,11
101,Expert,QI_120,3,8,15
101,Expert,QI_121,2.857142857,8,29.85714286
101,Expert,QI_122,4.705882353,10,25.88235294
101,Expert,QI_123,1,5,7
101,Expert,QI_124,0.4,1,5.8
101,Expert,QI_125,5,7,20
101,Expert,QI_126,0.970588235,1.5,4.147058824
101,Expert,QI_127,0.714285714,2,4.571428571
101,Expert,QI_128,2.705882353,8,15.41176471
101,Expert,QI_129,0.8,1,4
101,Expert,QI_130,3.882352941,6,20.82352941
101,Expert,QI_131,4.625,8,21.5
101,Expert,QI_132,9.411764706,20,46.47058824
101,Expert,QI_133,3,12,48
101,Expert,QI_134,0.882352941,3,10.41176471
101,Expert,QI_135,1,6,12
101,Expert,QI_136,0.970588235,1.5,6.264705882
101,Expert,QI_137,0.2,0.3,2
101,Expert,QI_138,0.2,0.5,3
101,Expert,QI_139,0.4,4,8
101,Expert,QI_140,0.041428571,0.08,0.62
101,Expert,QI_141,0.8,1.7,5.942857143
101,Expert,QI_142,0.714285714,2,14.85714286
101,Expert,QI_143,0.357142857,1,6.142857143
101,Expert,QI_144,0.99,1,8.714285714
101,Expert,QI_145,2.125,10,19
101,Expert,QI_146,1.714285714,12,48
101,Expert,QI_147,4.8,12,33.6
101,Expert,QI_148,0.075,3,5.25
101,Expert,QI_149,0.242857143,0.5,3.071428571
101,Expert,QI_150,4.375,10,21.25
101,Expert,QI_151,0.357142857,1,2.928571429
101,Expert,QI_152,0.714285714,2,4.571428571
101,Expert,QI_153,2.125,10,19
101,Expert,QI_154,0.775,1,4.375
101,Expert,QI_155,1,7,28.6
101,Expert,QI_156,4.714285714,6,24
101,Expert,QI_157,8.285714286,25,57.14285714
101,Expert,QI_158,3.571428571,10,48.57142857
101,Expert,QI_159,0.5,5,11.75
101,Expert,QI_160,3.5,8,19.25
101,Expert,QI_161,1.8,3,9
102,Expert,CAL_3,500,600,800
102,Expert,CAL_7,185.7142857,250,314.2857143
102,Expert,CAL_8,185.7142857,250,314.2857143
102,Expert,CAL_9,200,350,500
102,Expert,CAL_11,193.75,250,306.25
102,Expert,CAL_13,193.75,250,306.25
102,Expert,CAL_14,587.5,700,812.5
102,Expert,CAL_15,500,600,700
102,Expert,CAL_16,2.5,40,62.5
102,Expert,CAL_17,0.0001,5,11.42857143
102,Expert,CAL_19,0.0001,35,42.5
102,Expert,CAL_20,7.5,15,22.5
102,Expert,CAL_21,3.571428571,55,67.85714286
102,Expert,CAL_25,0.0001,50,57.5
102,Expert,CAL_27,3.571428571,55,67.85714286
102,Expert,QI_31,7.941176471,45,55.58823529
102,Expert,QI_32,4.411764706,15,20.29411765
102,Expert,QI_33,0.4,4,8.8
102,Expert,QI_34,0.8125,2.5,5.3125
102,Expert,QI_35,4.625,8,10.25
102,Expert,QI_36,5.625,45,61.875
102,Expert,QI_37,12.5,35,74.375
102,Expert,QI_38,5,8,10
102,Expert,QI_39,3,15,21
102,Expert,QI_40,0.4,4,5.2
102,Expert,QI_41,0.2,5,11
102,Expert,QI_42,0.2,5,8.6
102,Expert,QI_43,4,10,16
102,Expert,QI_44,0.0001,55,67
102,Expert,QI_45,4,10,16
102,Expert,QI_46,10,55,71.875
102,Expert,QI_47,4.4,8,16.4
102,Expert,QI_48,0.2,5,11
102,Expert,QI_49,15,35,45
102,Expert,QI_50,5,15,25
102,Expert,QI_51,8.235294118,40,50.58823529
102,Expert,QI_52,4.705882353,10,15.29411765
102,Expert,QI_53,0.4,4,8.8
102,Expert,QI_54,0.875,2,5.375
102,Expert,QI_55,4.625,8,10.25
102,Expert,QI_56,6.25,40,56.875
102,Expert,QI_57,11.875,40,79.375
102,Expert,QI_58,5,10,15
102,Expert,QI_59,0.0001,10,16
102,Expert,QI_60,0.8,2,5.6
102,Expert,QI_61,0.4,4,8.8
102,Expert,QI_62,0.6,3,5.4
102,Expert,QI_63,4.4,8,10.4
102,Expert,QI_64,0.0001,45,69
102,Expert,QI_65,4.99,5,11
102,Expert,QI_66,9.375,60,76.875
102,Expert,QI_67,4,10,22
102,Expert,QI_68,0.2,5,11
102,Expert,QI_69,15,35,45
102,Expert,QI_70,5,15,25
102,Expert,QI_71,2,20,26
102,Expert,QI_72,1,4,5
102,Expert,QI_73,2,5,6
102,Expert,QI_74,1.25,35,46.25
102,Expert,QI_75,1,5,8
102,Expert,QI_76,0.625,4,5.125
102,Expert,QI_77,0.75,3,5.25
102,Expert,QI_78,0.2,5,11
102,Expert,QI_79,2.5,25,47.5
102,Expert,QI_80,0.4,4,5.2
102,Expert,QI_81,0.142857143,4,6.571428571
102,Expert,QI_82,1,5,10
102,Expert,QI_83,0.0001,20,36.875
102,Expert,QI_84,0.0001,25,43
102,Expert,QI_85,0.0001,45,69
102,Expert,QI_86,1.25,35,57.5
102,Expert,QI_87,2,20,26
102,Expert,QI_88,1,4,5
102,Expert,QI_89,2,5,6
102,Expert,QI_90,0.625,40,51.25
102,Expert,QI_91,1,4,5
102,Expert,QI_92,0.875,2,3.125
102,Expert,QI_93,0.875,2,4.25
102,Expert,QI_94,0.0001,6,8.4
102,Expert,QI_95,3.125,20,48.125
102,Expert,QI_96,0.6,3,5.4
102,Expert,QI_97,0.0001,6,8.571428571
102,Expert,QI_98,1,7,10
102,Expert,QI_99,0.0001,20,36.875
102,Expert,QI_100,0.0001,30,42
102,Expert,QI_101,0.0001,35,53
102,Expert,QI_102,1.875,30,58.125
102,Expert,QI_103,0.015,0.06,0.07125
102,Expert,QI_104,0.025,0.7,0.8125
102,Expert,QI_105,19.5,24,30.75
102,Expert,QI_106,19.375,25,28.375
102,Expert,QI_107,29.125,37,40.375
102,Expert,QI_108,9.5875,13.3,20.8375
102,Expert,QI_109,1.75,4,4.01
102,Expert,QI_110,0.75,3,3.01
102,Expert,QI_111,3.5,8,9.125
102,Expert,QI_112,0.0001,15,26.25
102,Expert,QI_113,0.5,3,5
102,Expert,QI_114,1,5,15
102,Expert,QI_115,1,2.5,5
102,Expert,QI_116,0.9375,1.5,3.1875
102,Expert,QI_117,4.625,8,15.875
102,Expert,QI_118,1,5,10
102,Expert,QI_119,0.0001,5,11.42857143
102,Expert,QI_120,0.125,8,15.875
102,Expert,QI_121,0.75,3,5.25
102,Expert,QI_122,4.375,10,26.875
102,Expert,QI_123,2.75,5,10.625
102,Expert,QI_124,2.875,4,5.125
102,Expert,QI_125,5,20,65
102,Expert,QI_126,1,10,21.25
102,Expert,QI_127,4,10,16
102,Expert,QI_128,3.75,15,20.625
102,Expert,QI_129,1.6,10,16
102,Expert,QI_130,3.75,15,26.25
102,Expert,QI_131,4.375,10,15.625
102,Expert,QI_132,0.0001,25,43
102,Expert,QI_133,4,10,16
102,Expert,QI_134,4.6,7,10.6
102,Expert,QI_135,15,45,75
102,Expert,QI_136,5,35,65
102,Expert,QI_137,0.0001,12,26.625
102,Expert,QI_138,0.25,2.5,5
102,Expert,QI_139,1,5,15
102,Expert,QI_140,1,2.5,5
102,Expert,QI_141,0.9375,1.5,3.1875
102,Expert,QI_142,2.625,6,16.125
102,Expert,QI_143,1,4,10
102,Expert,QI_144,0.0001,5,11.42857143
102,Expert,QI_145,0.0001,9,15.75
102,Expert,QI_146,0.625,4,6.25
102,Expert,QI_147,3.75,15,26.25
102,Expert,QI_148,2.625,6,10.5
102,Expert,QI_149,2.875,4,5.125
102,Expert,QI_150,5,20,65
102,Expert,QI_151,1.625,5,16.25
102,Expert,QI_152,4.4,8,16.4
102,Expert,QI_153,4.125,12,21
102,Expert,QI_154,2,8,16.4
102,Expert,QI_155,4.125,12,26.625
102,Expert,QI_156,4.375,10,15.625
102,Expert,QI_157,0.0001,25,43
102,Expert,QI_158,4,10,16
102,Expert,QI_159,4.6,7,10.6
102,Expert,QI_160,15,45,75
102,Expert,QI_161,5,35,65
103,Expert,CAL_3,687.5,800,1025
103,Expert,CAL_7,0.0001,200,338.4615385
103,Expert,CAL_8,0.0001,200,338.4615385
103,Expert,CAL_9,0.0001,200,338.4615385
103,Expert,CAL_11,585.7142857,650,714.2857143
103,Expert,CAL_13,321.4285714,450,642.8571429
103,Expert,CAL_14,311.5384615,450,657.6923077
103,Expert,CAL_15,311.5384615,450,657.6923077
103,Expert,CAL_16,4.375,55,83.125
103,Expert,CAL_17,0.615384615,2,6.153846154
103,Expert,CAL_19,1,55,73
103,Expert,CAL_20,0.0001,8,10.76923077
103,Expert,CAL_21,0.0001,25,40
103,Expert,CAL_25,2.142857143,15,27.85714286
103,Expert,CAL_27,0.0001,20,40.76923077
103,Expert,QI_31,6,30,72
103,Expert,QI_32,0.0001,5,11.42857143
103,Expert,QI_33,0.25,1,2.5
103,Expert,QI_34,0.45,0.75,1.05
103,Expert,QI_35,0.615384615,2,6.153846154
103,Expert,QI_36,0.0001,20,33.84615385
103,Expert,QI_37,1.153846154,15,28.84615385
103,Expert,QI_38,0.0001,3,12.69230769
103,Expert,QI_39,0.357142857,1,6.142857143
103,Expert,QI_40,0.25,1,5.5
103,Expert,QI_41,0.615384615,2,10.30769231
103,Expert,QI_42,0.071428571,2,12.28571429
103,Expert,QI_43,0.0001,6,15
103,Expert,QI_44,7.142857143,20,58.57142857
