Q_type,Q_ID,Species_name,Community,State,Answer,Grps_discussed
Species,QI_136,Acaena novae-zelandiae,woodland,%cover now,NA,1
Species,QI_161,Acaena novae-zelandiae,woodland,%cover future,NA,1
Species,QI_32,Aciphylla glacialis,grassland,%cover now,NA,2
Species,QI_52,Aciphylla glacialis,grassland,%cover future,NA,2
Species,QI_40,Agrostis muelleriana,snowpatch,%cover now,NA,2
Species,QI_60,Agrostis muelleriana,snowpatch,%cover future,NA,2
Species,QI_33,Agrostis venusta,grassland,%cover now,NA,2
Species,QI_53,Agrostis venusta,grassland,%cover future,NA,2
Species,QI_48,Asperula gunnii,woodland,%cover now,NA,0
Species,QI_68,Asperula gunnii,woodland,%cover future,NA,0
Species,QI_130,Astelia alpina,wetland,%cover now,NA,1
Species,QI_155,Astelia alpina,wetland,%cover future,NA,1
Calibration,CAL_25,Baeckea gunniana,wetland,%cover in the past,9.9,2
Species,QI_128,Baeckea gunniana,wetland,%cover now,NA,2
Species,QI_153,Baeckea gunniana,wetland,%cover future,NA,2
Species,QI_126,Psychrophila introloba,snowpatch,%cover now,NA,2
Species,QI_151,Psychrophila introloba,snowpatch,%cover future,NA,2
Species,QI_116,Carex breviculmis,grassland,%cover now,NA,2
Species,QI_141,Carex breviculmis,grassland,%cover future,NA,2
Species,QI_44,Carex gaudichaudina,wetland,%cover now,NA,2
Species,QI_64,Carex gaudichaudina,wetland,%cover future,NA,2
Species,QI_77,Carex hebes,snowpatch,%cover now,NA,2
Species,QI_93,Carex hebes,snowpatch,%cover future,NA,2
Calibration,CAL_11,Carpha alpina,wetland,range,700,2
Species,QI_43,Carpha alpina,wetland,%cover now,NA,2
Species,QI_63,Carpha alpina,wetland,%cover future,NA,2
Species,QI_125,Celmisia costiniana,snowpatch,%cover now,NA,2
Species,QI_150,Celmisia costiniana,snowpatch,%cover future,NA,2
Species,QI_117,Celmisia pugioniformis,grassland,%cover now,NA,2
Species,QI_142,Celmisia pugioniformis,grassland,%cover future,NA,2
Species,QI_71,Craspedia aurantia,grassland,%cover now,NA,2
Species,QI_87,Craspedia aurantia,grassland,%cover future,NA,2
Species,QI_50,Dianella tasmanica,woodland,%cover now,NA,2
Species,QI_70,Dianella tasmanica,woodland,%cover future,NA,2
Species,QI_80,Drosera arcturi,wetland,%cover now,NA,0
Species,QI_96,Drosera arcturi,wetland,%cover future,NA,0
Species,QI_46,Empodisma minus,wetland,%cover now,NA,2
Species,QI_66,Empodisma minus,wetland,%cover future,NA,2
Species,QI_131,Epacris paludosa,wetland,%cover now,NA,2
Species,QI_156,Epacris paludosa,wetland,%cover future,NA,2
Species,QI_133,Epacris petrophila,wetland,%cover now,NA,2
Species,QI_158,Epacris petrophila,wetland,%cover future,NA,2
Calibration,CAL_13,Eucalyptus pauciflora,woodland,range,425,2
Species,QI_49,Eucalyptus pauciflora,woodland,%cover now,NA,0
Species,QI_69,Eucalyptus pauciflora,woodland,%cover future,NA,0
Species,QI_78,Ewartia nubigena,snowpatch,%cover now,NA,0
Species,QI_94,Ewartia nubigena,snowpatch,%cover future,NA,0
Species,QI_112,Gentianella muelleriana,grassland,%cover now,NA,2
Species,QI_137,Gentianella muelleriana,grassland,%cover future,NA,2
Species,QI_82,Goodenia hederacea,woodland,%cover now,NA,2
Species,QI_98,Goodenia hederacea,woodland,%cover future,NA,2
Calibration,CAL_21,Grevillea australis,heathland,%cover in the past,10.8,2
Species,QI_36,Grevillea australis,heathland,%cover now,NA,2
Species,QI_56,Grevillea australis,heathland,%cover future,NA,2
Species,QI_37,Hovea montana,heathland,%cover now,NA,2
Species,QI_57,Hovea montana,heathland,%cover future,NA,2
Species,QI_74,Kunzea muelleri,heathland,%cover now,NA,0
Species,QI_90,Kunzea muelleri,heathland,%cover future,NA,0
Species,QI_114,Leptorhynchos squamatus,grassland,%cover now,NA,2
Species,QI_139,Leptorhynchos squamatus,grassland,%cover future,NA,2
Species,QI_75,Acrothamnus montanus,heathland,%cover now,NA,2
Species,QI_91,Acrothamnus montanus,heathland,%cover future,NA,2
Species,QI_41,Luzula acutifolia,snowpatch,%cover now,NA,2
Species,QI_61,Luzula acutifolia,snowpatch,%cover future,NA,2
Calibration,CAL_9,Montia australasica,snowpatch,range,480,2
Species,QI_39,Montia australasica,snowpatch,%cover now,NA,2
Species,QI_59,Montia australasica,snowpatch,%cover future,NA,2
Community,QI_103,NA,feldmark,%cover future,NA,2
Community,QI_104,NA,snowpatch,%cover future,NA,2
Community,QI_105,NA,grassland/herbfield,%cover future,NA,2
Community,QI_106,NA,subalpine woodland,%cover future,NA,2
