Name,Family,Genus,Species,Common_name,Growth_form,Leaf_length_lower,Leaf_length_upper,Leaf Width Lower,Leaf Width Upper,Leaf_size_source,Leaf_area_mm2,Leaf_area_source,Perenniality,Perenniality_source,Mean_ht_mm,Ht_source,SLA_mm2mg1,SLA_source,Resprouter,Resprouting Source,Diaspore_mg,Diaspore_source,Dispersal_mode,Dispersal_mode_source,Log10_dispersal_dist_m,Disperal_dist_source,Range_extent_ID,Range_rource,Elevation_range,Elevation_Source,Raunkier,Raunkier_source,Pollination,Pollination_source
Acaena novae-zelandiae,Rosaceae,Acaena,novae-zelandiae,Bidgee-widgee,Forb,8,12,,5,Flora of NSW (book or PlantNet),46.17,C Pickering Main Range,Perennial,KM,47.3,C Pickering Main Range,19.98,C Pickering Main Range,Y,KM,4.7,JM,Animal,JM,1.559373514,JM SV,5,KM,5,KM,H,JM and KM,Wind,JM
Aciphylla glacialis,Apiaceae,Aciphylla,glacialis,Mountain Celery,Forb,130,280,20,40,Flora of NSW (book or PlantNet),4176.3,C Pickering Main Range,Perennial,KM,190,C Pickering Main Range,7.03,C Pickering Main Range,,,4.59,LG,None,JM,-0.220511223,JM SV,2,KM,3,KM,H,JM and KM,Not Wind,JM
Agrostis muelleriana,Poaceae,Agrostis,muelleriana,Mueller's Bent,Graminoid,2,3,1,5,Flora of NSW (book or PlantNet),31.95,C Pickering Main Range,Annual,KM,39.6,C Pickering Main Range,6.7,C Pickering Main Range,,,0.11,JM,Wind,JM,-0.355590367,JM SV,5,KM,4,KM,T,JM and KM,Wind,JM
Agrostis venusta,Poaceae,Agrostis,venusta,,Graminoid,2,3,0.3,2,Flora of NSW (book or PlantNet),31.95,Estimate,Annual,KM,150,Estimate,6.7,Estimate,N,KM,1.44,Kew,Wind,JM,-0.312104595,JM SV,5,KM,5,KM,T,JM and KM,Wind,JM
Asperula gunnii,Rubiaceae,Asperula,gunnii,Mountain Woodruff,Forb,4,8,,2.5,Flora of NSW (book or PlantNet),4.1,C Pickering Main Range,Perennial,KM,43.2,C Pickering Main Range,21.79,C Pickering Main Range,Y,KM,2.14,Kew,None,JM,-0.411653277,JM SV,5,KM,4,KM,C,JM and KM,Not Wind,JM
Astelia alpina,Liliaceae,Astelia,alpina,Silver Astelia,Forb,50,170,5,15,Flora of NSW (book or PlantNet),1516.5,C Pickering Main Range,Perennial,KM,91.1,C Pickering Main Range,9.19,C Pickering Main Range,Y,KM,0.95,JM,Animal,JM,1.245729455,JM SV,5,KM,4,KM,H,JM and KM,Not Wind,JM
Baeckea gunniana,Myrtaceae,Baeckea,gunniana,Alpine Baeckea,Shrub,2,4,,1,Flora of NSW (book or PlantNet),2.89,C Pickering Main Range,Perennial,KM,261,C Pickering Main Range,20.6,C Pickering Main Range,Y,KM,0.75,Kew,Wind,JM,0.679974685,JM SV,3,KM,4,KM,P,JM and KM,Not Wind,JM
Caltha introloba,Ranunculaceae,Caltha,introloba,Alpine marsh marigold,Forb,8,40,,,Flora of NSW (book or PlantNet),188.18,C Pickering Main Range,Perennial,KM,35.1,C Pickering Main Range,376.3,C Pickering Main Range,,,,,None,JM,-0.455139048,JM SV,3,KM,3,KM,H,JM and KM,Wind,JM
Carex breviculmis,Cyperaceae,Carex,breviculmis,Short-flower Dryland Sedge,Graminoid,,350,2,3,,137.3,C Pickering Main Range,Perennial,KM,64.4,C Pickering Main Range,16.8,C Pickering Main Range,Y,KM,1.04,JM,None,JM,-0.411653277,JM SV,5,KM,5,KM,H,JM and KM,Wind,JM
Carex gaudichaudina,Cyperaceae,Carex,gaudichaudina,Tufted Sedge,Graminoid,70,180,2,4,Flora of NSW (book or PlantNet),314.1,C Pickering Main Range,Perennial,KM,100.9,C Pickering Main Range,78.52,C Pickering Main Range,Y,KM,0.47,JM,None,JM,-0.141494989,JM SV,5,KM,5,KM,H,JM and KM,Wind,JM
